layout/układ, plan
tedious/monotonny, żmudny
vertical/pionowy
horizontal/poziomy
vertex/wierzchołek, szczyt
routine/ustalony porządek, rutyna
constraint/ograniczenie, przymus
incorporate/zawierać
either/zarówno, albo
rewind/przewijać do tyłu, cofać
contiguous/graniczący, sąsiadujący
literal/dosłowny, literalny
heap/stos, sterta
traversed/przecięty
pickling/kiszenie
dump/wyrzucać, pozbywać się
ternary/potrójny
convinient/wygodny, praktyczny
shallow/płytki
relevant/istotny, trafny
arbitrary/przypadkowy, dowolny
mitigate/zmniejszyć, złagodzić
derived/pochodny, pochodzący
distinct/odmienny, odróżniający się, unikalny
constrain/ograniczać
discourage/zniechęcać, zrażać
courage/męstwo, odwaga
revenue/przychód, dochód
tangible/namacalny, zauważalny
reliable/godny zaufania, niezawodny
emphasis/nacisk, szczególna uwaga
redundand/zbędny
significant/znaczący
enterprise/przedsiębiorstwo
hassle/kłopot, zawracanie głowy
upon/od, na
self-sufficient/samowystarczalny, niezależny
tie/remis
biased/stronniczy, tendencyjny
merit/zasługa
doubt/wątpić, wątpliwość
acquisition/nabycie, przejęcie
abbreviation/skrót, skrócenie
ambuguity/dwuznaczność, niejednoznaczność
pivot/obracać się
wrap/zawijać, owijać
parse/rozbiór, analiza
hint/wskazówka, podpowiedź
credentials/kwalifikacje, referencje